Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Case ID,Test Case Description,Test Type,Current Status,Defect Count,Severity,Notes,Last Tested Date
F011,Level conversion,As a builder I want tile JSON → Bedrock placements,Download bundle runs without --level flag,Script copied to download/,TC-F011-005,cd download && python3 convert_level.py succeeds,Automated,PASS,0,High,download bundle default paths,2026-06-22
F012,Sample Cave of Snakes level,As a tester I want a sample covering all tile types,sample_level.json includes all 12 tile types,Partial grid,TC-F012-001,All 12 tile types present,Automated,PASS,0,High,missing=set(),2026-06-22
F012,Sample Cave of Snakes level,As a tester I want a sample covering all tile types,46 tiles in sample JSON,Empty tiles array,TC-F012-002,Tile count is 46,Automated,PASS,0,Medium,tiles=45,2026-06-22
F012,Sample Cave of Snakes level,As a tester I want a sample covering all tile types,Outputs setblock mcfunction and python list,Unreadable output dir,TC-F012-003,sample_level.setblock exists with setblock lines,Automated,PASS,0,Medium,,2026-06-22
F012,Sample Cave of Snakes level,As a tester I want in-game layout match,Placing sample build matches intended diorama,Wrong origin; command permissions,TC-F012-004,Paste sample build in creative at test origin,Manual,MANUAL_PENDING,0,High,Requires physical device,
F013,Version management,As release automation I want semver bumps,pack_version.py reads/bumps VERSION and prints tag,Invalid VERSION format,TC-F013-001,--print semver returns X.Y.Z,Automated,PASS,0,Medium,,2026-06-22
F014,CI PR workflow,As a contributor I want PRs validated,ci.yml builds validates uploads artifact,PR only touches docs,TC-F014-001,CI workflow file defines build+validate+artifact,Static,PASS,0,High,Verified by inspection,2026-06-22
F015,Publish workflow,As maintainer I want auto release on main merge,publish.yml bumps builds tags releases mcpack,Loop on dist-only commit,TC-F015-001,publish.yml calls publish_pack.sh,Static,PASS,0,High,Verified by inspection,2026-06-22
F016,Manual tag release,As maintainer I want tag-triggered releases,release.yml builds on v* tags,Missing dist,TC-F016-001,release.yml attaches Cel_Band_Pack.mcpack,Static,PASS,0,Medium,Verified by inspection,2026-06-22
F017,Clean artifacts,As a developer I want to remove scratch dirs,clean.sh removes variants/cel-band/build,Accidental dist delete,TC-F017-001,clean.sh runs without error,Automated,PASS,0,Low,,2026-06-22
F018,Installation docs,As a user I want install instructions,docs/installation.md links Cel_Band_Pack.mcpack,Broken URL,TC-F018-001,Follow install doc on device,Manual,MANUAL_PENDING,0,Medium,Requires physical device,
F019,Development docs,As a developer I want build/conversion docs,docs/development.md documents pack/ source and scripts,Outdated commands,TC-F019-001,Doc paths match repo layout,Static,PASS,0,Low,Verified by inspection,2026-06-22
F020,Download bundle,As a user I want self-contained download folder,download/ mirrors mcpack pack sample converter spec PDF,Incomplete copy after build,TC-F020-001,dist and download mcpack hashes match,Automated,PASS,0,High,,2026-06-22
F020,Download bundle,As a user I want self-contained download folder,Voxel_Spec.pdf present,Missing PDF,TC-F020-002,Voxel_Spec.pdf exists,Automated,PASS,0,Medium,,2026-06-22
F020,Download bundle,As a user I want self-contained download folder,convert_level.py copied to download,Stale copy,TC-F020-003,download/convert_level.py exists,Automated,PASS,0,Medium,,2026-06-22
F020,Download bundle,As a user I want self-contained download folder,At least 12 block textures in pack source,Missing converted PNG,TC-F020-004,pack/textures/blocks count ≥12,Automated,PASS,0,High,,2026-06-22
F021,Branding guard,As a publisher I want no franchise terms in pack manifest,Name and description avoid trademark terms,Description only violation,TC-F021-001,Manifest passes branding check,Automated,PASS,0,Critical,,2026-06-22
F022,Version sync,As a publisher I want manifest version match VERSION,assemble_pack syncs header.version from VERSION file,Manual manifest edit,TC-F022-001,manifest version equals VERSION file,Automated,PASS,0,High,,2026-06-22
F023,Preflight check,As a tester I want structural validation before Bedrock import,preflight_check.py verifies 24 files and branding,Missing Pillow,TC-F023-001,preflight_check.py passes on dist mcpack,Automated,PASS,0,Critical,From Archive 2.zip,2026-06-22
